surface,hd_R,lambda_norm
plane,1.1486,0.1176
plane,1.1562,0.1231
plane,1.1639,0.1296
plane,1.1715,0.1351
plane,1.1791,0.1394
plane,1.1867,0.1438
plane,1.1944,0.1492
plane,1.2020,0.1558
plane,1.2096,0.1612
plane,1.2172,0.1678
plane,1.2248,0.1710
plane,1.2325,0.1743
plane,1.2401,0.1808
plane,1.2477,0.1841
plane,1.2553,0.1885
plane,1.2630,0.1928
plane,1.2706,0.2004
plane,1.2782,0.2048
plane,1.2858,0.2102
plane,1.2934,0.2135
plane,1.3011,0.2168
plane,1.3087,0.2200
plane,1.3163,0.2277
plane,1.3239,0.2320
plane,1.3316,0.2353
plane,1.3392,0.2397
plane,1.3468,0.2440
plane,1.3544,0.2484
plane,1.3620,0.2505
plane,1.3697,0.2549
plane,1.3773,0.2593
plane,1.3849,0.2636
plane,1.3925,0.2658
plane,1.4002,0.2691
plane,1.4078,0.2723
plane,1.4154,0.2756
plane,1.4230,0.2789
plane,1.4306,0.2821
plane,1.4383,0.2854
plane,1.4459,0.2887
plane,1.4535,0.2930
plane,1.4611,0.2963
plane,1.4688,0.2996
plane,1.4764,0.3028
plane,1.4840,0.3083
plane,1.4916,0.3105
plane,1.4992,0.3126
plane,1.5069,0.3170
plane,1.5145,0.3181
plane,1.5221,0.3224
plane,1.5297,0.3246
plane,1.5373,0.3257
plane,1.5450,0.3301
plane,1.5526,0.3333
plane,1.5602,0.3344
plane,1.5678,0.3388
plane,1.5755,0.3431
plane,1.5831,0.3464
plane,1.5907,0.3486
plane,1.5983,0.3529
plane,1.6059,0.3562
plane,1.6136,0.3584
plane,1.6212,0.3617
plane,1.6288,0.3638
plane,1.6364,0.3638
plane,1.6441,0.3649
plane,1.6517,0.3671
plane,1.6593,0.3704
plane,1.6669,0.3747
plane,1.6745,0.3780
plane,1.6822,0.3813
plane,1.6898,0.3834
plane,1.6974,0.3867
plane,1.7050,0.3878
plane,1.7127,0.3911
plane,1.7203,0.3911
plane,1.7279,0.3943
plane,1.7355,0.3965
